Addendum BB -- Final ASC Covered Ancillary Services Integral to Covered Surgical Procedures for CY 2021 (Including Ancillary Services for Which Payment is Packaged)							
CPT codes and descriptions only are copyright 2020 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2020 American Dental Association.  All Rights Reserved.							
							
HCPCS Code		Short Descriptor	CY 2021 Comment Indicator	Drug Pass-Through Expiration during Calendar Year	Final CY 2021 Payment Indicator	Final CY 2021 Payment Weight  	Final CY 2021 Payment Rate 
J0883		Argatroban nonesrd use 1mg			K2		$1.45
J0884		Argatroban esrd dialysis 1mg			K2		$1.45
J0885		"Epoetin alfa, non-esrd"			K2		$8.82
J0887		Epoetin beta esrd use			N1		
J0888		Epoetin beta non esrd	CH		K2		$1.50
J0894		Decitabine injection			K2		$3.43
J0895		Deferoxamine mesylate inj			N1		
J0896		Inj luspatercept-aamt 0.25mg	NC		K2		$36.31
J0897		Denosumab injection			K2		$20.11
J0945		Brompheniramine maleate inj			N1		
J1000		Depo-estradiol cypionate inj			N1		
J1020		Methylprednisolone 20 mg inj			N1		
J1030		Methylprednisolone 40 mg inj			N1		
J1040		Methylprednisolone 80 mg inj			N1		
J1050		Medroxyprogesterone acetate			N1		
J1071		Inj testosterone cypionate			N1		
J1094		Inj dexamethasone acetate			N1		
J1095		"Injection, dexamethasone 9%"			K2		$1.11
J1096		Dexametha opth insert 0.1 mg			K2		$139.47
J1097		Phenylep ketorolac opth soln	CH		K2		$101.71
J1100		Dexamethasone sodium phos			N1		
J1110		Inj dihydroergotamine mesylt			N1		
J1120		Acetazolamid sodium injectio			N1		
J1130		Inj diclofenac sodium 0.5mg			N1		
J1160		Digoxin injection			N1		
J1162		Digoxin immune fab (ovine)			K2		"$3,969.27"
J1165		Phenytoin sodium injection			N1		
J1170		Hydromorphone injection			N1		
J1180		Dyphylline injection			K5		
J1190		Dexrazoxane hcl injection			K2		$195.98
J1200		Diphenhydramine hcl injectio			N1		
J1201		Inj. cetirizine hcl 0.5mg	NC		K2		$15.39
J1205		Chlorothiazide sodium inj			N1		
J1212		Dimethyl sulfoxide 50% 50 ml			K2		$635.87
J1230		Methadone injection			N1		
J1240		Dimenhydrinate injection			N1		
J1245		Dipyridamole injection			N1		
J1250		Inj dobutamine hcl/250 mg			N1		
J1260		Dolasetron mesylate			N1		
J1265		Dopamine injection			N1		
J1267		Doripenem injection	CH		N1		
J1270		"Injection, doxercalciferol"			N1		
J1290		Ecallantide injection			K2		$492.12
J1300		Eculizumab injection			K2		$230.32
J1301		"Injection, edaravone, 1 mg"			K2		$19.90
J1303		"Inj., ravulizumab-cwvz 10 mg"			K2		$226.18
J1320		Amitriptyline injection			N1		
J1322		"Elosulfase alfa, injection"			K2		$245.34
J1324		Enfuvirtide injection			K5		
J1325		Epoprostenol injection			N1		
J1327		Eptifibatide injection	CH		N1		
J1330		Ergonovine maleate injection			K5		
J1335		Ertapenem injection			N1		
J1364		Erythro lactobionate /500 mg	CH		K2		$76.85
J1380		Estradiol valerate 10 mg inj			N1		
J1410		Inj estrogen conjugate 25 mg			K2		$325.51
J1428		"Inj, eteplirsen, 10 mg"	CH		N1		
J1429		Inj golodirsen 10 mg	NC		K2		$166.53
J1430		Ethanolamine oleate 100 mg			K2		$444.10
J1435		Injection estrone per 1 mg			K5		
J1437		Inj. fe derisomaltose 10 mg	NI		K2		$25.38
J1438		Etanercept injection			K2		$736.30
J1439		Inj ferric carboxymaltos 1mg			K2		$1.13
J1442		Inj filgrastim excl biosimil			K2		$0.94
J1443		Inj ferric pyrophosphate cit			K5		
J1444		Fe pyro cit pow 0.1 mg iron	CH		K5		
J1447		Inj tbo filgrastim 1 microg			K2		$0.46
J1450		Fluconazole			N1		
J1451		"Fomepizole, 15 mg"			K2		$7.39
J1452		Intraocular fomivirsen na			K5		
J1453		Fosaprepitant injection			K2		$0.42
J1454		"Inj fosnetupitant, palonoset"		*	K2		$695.56
J1455		Foscarnet sodium injection			K2		$82.27
J1457		Gallium nitrate injection			K5		
J1458		Galsulfase injection			K2		$404.07
J1459		Inj ivig privigen 500 mg			K2		$42.43
J1460		Gamma globulin 1 cc inj			K2		$43.30
J1555		"Inj cuvitru, 100 mg"			K2		$13.94
J1556		"Inj, imm glob bivigam, 500mg"	CH		K2		$70.49
J1557		Gammaplex injection			K2		$49.81
J1558		"Inj. xembify, 100 mg"	NC		K2		$14.69
J1559		Hizentra injection			K2		$11.09
J1560		Gamma globulin > 10 cc inj			K2		$432.96
J1561		Gamunex-c/gammaked			K2		$43.67
J1562		"Vivaglobin, inj"			K5		
J1566		"Immune globulin, powder"			K2		$66.97
J1568		Octagam injection			K2		$41.63
J1569		Gammagard liquid injection			K2		$43.63
J1570		Ganciclovir sodium injection			N1		
J1571		Hepagam b im injection			K2		$65.61
J1572		Flebogamma injection			K2		$36.86
J1573		"Hepagam b intravenous, inj"			K2		$66.75
J1575		Hyqvia 100mg immuneglobulin			K2		$14.34
J1580		Garamycin gentamicin inj			N1		
J1595		Injection glatiramer acetate			K2		$153.12
J1599		"Ivig non-lyophilized, nos"			N1		
J1600		Gold sodium thiomaleate inj			K5		
J1602		Golimumab for iv use 1mg			K2		$18.12
J1610		Glucagon hydrochloride/1 mg			K2		$194.42
J1620		Gonadorelin hydroch/ 100 mcg			K5		
J1626		Granisetron hcl injection			N1		
J1627		"Inj, granisetron, xr, 0.1 mg"			N1		
J1628		"Inj., guselkumab, 1 mg"			K2		$88.40
J1630		Haloperidol injection			N1		
J1631		Haloperidol decanoate inj			N1		
J1632		"Inj., brexanolone, 1 mg"	NI		K2		$76.14
J1640		"Hemin, 1 mg"			K2		$24.43
J1642		Inj heparin sodium per 10 u			N1		
J1644		Inj heparin sodium per 1000u			N1		
J1645		Dalteparin sodium			N1		
J1650		Inj enoxaparin sodium			N1		
J1652		Fondaparinux sodium			N1		
J1655		Tinzaparin sodium injection			N1		
J1670		Tetanus immune globulin inj			K2		$469.95
J1700		Hydrocortisone acetate inj			N1		
J1710		Hydrocortisone sodium ph inj			N1		
J1720		Hydrocortisone sodium succ i			N1		
J1726		"Makena, 10 mg"			K2		$16.05
J1729		Inj hydroxyprogst capoat nos			K2		$21.54
J1730		Diazoxide injection			K5		
J1738		Inj. meloxicam 1 mg	NI		K2		$3.26
J1740		Ibandronate sodium injection			K2		$41.54
J1741		Ibuprofen injection			N1		
J1742		Ibutilide fumarate injection			K2		$273.16
J1743		Idursulfase injection	CH		N1		
J1744		Icatibant injection			K2		$273.60
J1745		Infliximab not biosimil 10mg			K2		$44.90
J1746		"Inj., ibalizumab-uiyk, 10 mg"			K2		$64.05
J1750		Inj iron dextran			K2		$15.05
J1756		Iron sucrose injection			N1		
J1786		Imuglucerase injection			K2		$43.38
J1790		Droperidol injection			N1		
J1800		Propranolol injection			N1		
J1815		Insulin injection			N1		
J1817		Insulin for insulin pump use			N1		
J1823		"Inj. inebilizumab-cdon, 1 mg"	NI		K2		$449.77
J1826		Interferon beta-1a inj			K2		"$2,293.85"
J1830		Interferon beta-1b / .25 mg			K2		$393.47
J1833		"Injection, isavuconazonium"			K2		$0.78
J1835		Itraconazole injection			K5		
J1840		Kanamycin sulfate 500 mg inj			N1		
J1850		Kanamycin sulfate 75 mg inj	CH		K5		
J1885		Ketorolac tromethamine inj			N1		
J1890		Cephalothin sodium injection			N1		
J1930		Lanreotide injection			K2		$68.46
J1931		Laronidase injection			K2		$33.12
J1940		Furosemide injection			N1		
J1943		"Inj., aristada initio, 1 mg"			K2		$2.91
J1944		Aripirazole lauroxil 1 mg			K2		$2.90
J1945		Lepirudin			K5		
J1950		Leuprolide acetate /3.75 mg			K2		"$1,582.13"
J1953		Levetiracetam injection			N1		
J1956		Levofloxacin injection			N1		
J1960		Levorphanol tartrate inj			N1		
J1980		Hyoscyamine sulfate inj			N1		
J1990		Chlordiazepoxide injection			N1		
J2001		Lidocaine injection			N1		
J2010		Lincomycin injection			N1		
J2020		Linezolid injection			N1		
J2060		Lorazepam injection			N1		
J2062		Loxapine for inhalation 1 mg	CH		K5		
J2150		Mannitol injection			N1		
J2170		Mecasermin injection			N1		
J2175		Meperidine hydrochl /100 mg			N1		
J2180		Meperidine/promethazine inj			N1		
J2182		"Injection, mepolizumab, 1mg"			K2		$28.86
J2185		Meropenem			N1		
J2186		"Inj., meropenem, vaborbactam"			K2		$1.77
J2210		Methylergonovin maleate inj			N1		
J2212		Methylnaltrexone injection			N1		
J2248		Micafungin sodium injection	CH		K2		$1.09
J2250		Inj midazolam hydrochloride			N1		
J2260		Inj milrinone lactate / 5 mg			N1		
J2265		Minocycline hydrochloride			K2		$2.00
J2270		Morphine sulfate injection			N1		
J2274		Inj morphine pf epid ithc			N1		
J2278		Ziconotide injection			K2		$8.48
J2280		"Inj, moxifloxacin 100 mg"			N1		
J2300		Inj nalbuphine hydrochloride			N1		
J2310		Inj naloxone hydrochloride			N1		
J2315		"Naltrexone, depot form"			K2		$3.43
J2320		Nandrolone decanoate 50 mg			N1		
J2323		Natalizumab injection			K2		$22.39
J2326		"Inj, nusinersen, 0.1mg"			K2		"$1,122.06"
J2350		"Injection, ocrelizumab, 1 mg"			K2		$57.33
J2353		"Octreotide injection, depot"			K2		$205.66
J2354		"Octreotide inj, non-depot"			N1		
J2355		Oprelvekin injection	CH		N1		
J2357		Omalizumab injection			K2		$37.42
J2358		Olanzapine long-acting inj	CH		K2		$2.92
J2360		Orphenadrine injection			N1		
J2370		Phenylephrine hcl injection			N1		
J2400		Chloroprocaine hcl injection			N1		
J2405		Ondansetron hcl injection			N1		
J2407		"Injection, oritavancin"			K2		$23.82
J2410		Oxymorphone hcl injection			N1		
J2425		Palifermin injection			K2		$22.82
J2426		Paliperidone palmitate inj			K2		$12.12
J2430		Pamidronate disodium /30 mg			N1		
J2440		Papaverin hcl injection			N1		
J2460		Oxytetracycline injection			K5		
J2469		Palonosetron hcl			N1		
J2501		Paricalcitol			N1		
J2502		"Inj, pasireotide long acting"			K2		$315.84
J2503		Pegaptanib sodium injection			N1		
J2504		"Pegademase bovine, 25 iu"			K2		"$1,471.85"
J2505		"Injection, pegfilgrastim 6mg"			K2		"$3,079.49"
J2507		Pegloticase injection			K2		"$2,771.29"
J2510		Penicillin g procaine inj			N1		
J2513		Pentastarch 10% solution			K5		
J2515		Pentobarbital sodium inj			K2		$29.87
J2540		Penicillin g potassium inj			N1		
J2543		Piperacillin/tazobactam			N1		
J2547		"Injection, peramivir"			K2		$1.60
J2550		Promethazine hcl injection			N1		
J2560		Phenobarbital sodium inj	CH		K2		$45.66
J2562		Plerixafor injection			K2		$365.02
J2590		Oxytocin injection			N1		
J2597		Inj desmopressin acetate			K2		$10.57
J2650		Prednisolone acetate inj			N1		
J2670		Totazoline hcl injection			K5		
J2675		Inj progesterone per 50 mg			N1		
J2680		Fluphenazine decanoate 25 mg			N1		
J2690		Procainamide hcl injection			N1		
J2700		Oxacillin sodium injeciton			N1		
J2704		"Inj, propofol, 10 mg"			N1		
J2710		Neostigmine methylslfte inj			N1		
J2720		Inj protamine sulfate/10 mg			N1		
J2724		Protein c concentrate			K2		$15.08
J2725		Inj protirelin per 250 mcg			K5		
J2730		Pralidoxime chloride inj			N1		
J2760		Phentolaine mesylate inj			K2		$356.88
J2765		Metoclopramide hcl injection			N1		
J2770		Quinupristin/dalfopristin			K2		$458.83
J2778		Ranibizumab injection			K2		$322.85
J2780		Ranitidine hydrochloride inj			N1		
J2783		Rasburicase			K2		$306.14
J2785		Regadenoson injection			N1		
J2786		"Injection, reslizumab, 1mg"			K2		$9.75
J2788		Rho d immune globulin 50 mcg			N1		
J2790		Rho d immune globulin inj			N1		
J2791		Rhophylac injection			N1		
J2792		"Rho(d) immune globulin h, sd"			K2		$29.40
J2793		Rilonacept injection			K5		
J2794		"Inj risperdal consta, 0.5 mg"			K2		$10.53
J2795		Ropivacaine hcl injection			N1		
J2796		Romiplostim injection			K2		$79.11
J2798		"Inj., perseris, 0.5 mg"			K2		$10.16
J2800		Methocarbamol injection			N1		
J2805		Sincalide injection			N1		
J2810		Inj theophylline per 40 mg			N1		
J2820		Sargramostim injection			K2		$48.83
J2840		Inj sebelipase alfa 1 mg			K2		$540.41
J2850		Inj secretin synthetic human			K2		$34.78
J2860		"Injection, siltuximab"			K2		$111.50
J2910		Aurothioglucose injeciton	CH 		K5		
J2916		Na ferric gluconate complex			N1		
J2920		Methylprednisolone injection			N1		
J2930		Methylprednisolone injection			N1		
J2940		Somatrem injection			K5		
J2941		Somatropin injection			K2		$36.54
J2950		Promazine hcl injection			N1		
J2993		Reteplase injection	CH		K2		"$2,395.94"
J2995		Inj streptokinase /250000 iu			K5		
J2997		Alteplase recombinant			K2		$87.43
J3000		Streptomycin injection			N1		
J3010		Fentanyl citrate injection			N1		
J3030		Sumatriptan succinate / 6 mg			N1		
J3031		"Inj., fremanezumab-vfrm 1 mg"			K2		$2.28
J3032		Inj. eptinezumab-jjmr 1 mg	NI		K2		$15.60
J3060		"Inj, taliglucerase alfa 10 u"			K2		$40.96
J3070		Pentazocine injection			N1		
J3090		Inj tedizolid phosphate			K2		$1.59
J3095		Telavancin injection			K2		$5.94
J3101		Tenecteplase injection			K2		$129.27
J3105		Terbutaline sulfate inj			N1		
J3111		Inj. romosozumab-aqqg 1 mg			K2		$9.00
J3121		Inj testostero enanthate 1mg			N1		
J3145		Testosterone undecanoate 1mg			K2		$1.53
J3230		Chlorpromazine hcl injection			N1		
J3240		Thyrotropin injection			K2		"$1,776.21"
J3241		Inj. teprotumumab-trbw 10 mg	NI		K2		$315.88
J3243		Tigecycline injection			K2		$1.19
J3245		"Inj., tildrakizumab, 1 mg"			K2		$132.71
J3246		Tirofiban hcl			K2		$2.41
J3250		Trimethobenzamide hcl inj			N1		
J3260		Tobramycin sulfate injection			N1		
J3262		Tocilizumab injection			K2		$5.47
J3265		Injection torsemide 10 mg/ml			N1		
J3280		Thiethylperazine maleate inj			K5		
J3285		Treprostinil injection			K2		$64.03
J3300		Triamcinolone a inj prs-free			N1		
J3301		Triamcinolone acet inj nos			N1		
J3302		Triamcinolone diacetate inj			N1		
J3303		Triamcinolone hexacetonl inj			N1		
J3304		Inj triamcinolone ace xr 1mg		*	K2		$18.01
J3305		Inj trimetrexate glucoronate			K5		
J3310		Perphenazine injeciton			N1		
J3315		Triptorelin pamoate			K2		$503.81
J3316		"Inj., triptorelin xr 3.75 mg"			K2		"$3,044.01"
J3320		Spectinomycn di-hcl inj			K5		
J3350		Urea injection	CH		K5		
J3355		"Urofollitropin, 75 iu"			K5		
J3357		"Ustekinumab sub cu inj, 1 mg"			K2		$180.12
J3358		"Ustekinumab, iv inject, 1 mg"			K2		$11.95
J3360		Diazepam injection			N1		
J3364		Urokinase 5000 iu injection			N1		
J3365		"Urokinase 250,000 iu inj"			K5		
J3370		Vancomycin hcl injection			N1		
J3380		"Injection, vedolizumab"			K2		$20.35
J3385		Velaglucerase alfa			K2		$346.63
J3396		Verteporfin injection			K2		$11.25
J3397		"Inj., vestronidase alfa-vjbk"	CH		N1		
J3398		Inj luxturna 1 billion vec g		*	K2		"$2,915.24"
J3400		Triflupromazine hcl inj			K5		
J3410		Hydroxyzine hcl injection			N1		
J3411		Thiamine hcl 100 mg			N1		
J3415		Pyridoxine hcl 100 mg			N1		
J3420		Vitamin b12 injection			N1		
J3430		Vitamin k phytonadione inj			N1		
J3465		"Injection, voriconazole"			N1		
J3470		Hyaluronidase injection			N1		
J3471		"Ovine, up to 999 usp units"			N1		
J3472		"Ovine, 1000 usp units"			N1		
J3473		Hyaluronidase recombinant			N1		
J3475		Inj magnesium sulfate			N1		
J3480		Inj potassium chloride			N1		
J3485		Zidovudine			N1		
J3486		Ziprasidone mesylate			N1		
J3489		Zoledronic acid 1mg			N1		
J3490		Drugs unclassified injection			N1		
J3530		Nasal vaccine inhalation			N1		
J3590		Unclassified biologics			N1		
J7030		Normal saline solution infus			N1		
J7040		Normal saline solution infus			N1		
J7042		5% dextrose/normal saline			N1		
J7050		Normal saline solution infus			N1		
J7060		5% dextrose/water			N1		
J7070		D5w infusion			N1		
J7100		Dextran 40 infusion			N1		
J7110		Dextran 75 infusion			N1		
J7120		Ringers lactate infusion			N1		
J7121		5% dextrose in lac ringers			N1		
J7131		Hypertonic saline sol			N1		
J7169		"Inj andexxa, 10 mg"	NC		K2		$291.50
J7170		"Inj., emicizumab-kxwh 0.5 mg"		*	K2		$47.75
J7175		"Inj, factor x, (human), 1iu"			K2		$7.89
J7177		"Inj., fibryga, 1 mg"	CH		N1		
J7178		Inj human fibrinogen con nos			K2		$1.26
J7179		Vonvendi inj 1 iu vwf:rco			K2		$1.89
J7180		Factor xiii anti-hem factor			K2		$8.78
J7181		Factor xiii recomb a-subunit			K2		$15.45
J7182		Factor viii recomb novoeight			K2		$1.36
J7183		Wilate injection			K2		$1.04
J7185		Xyntha inj			K2		$1.23
J7186		Antihemophilic viii/vwf comp			K2		$1.12
J7187		"Humate-p, inj"			K2		$1.22
J7188		Factor viii recomb obizur			K2		$3.19
J7189		Factor viia recomb novoseven			K2		$2.26
J7190		Factor viii			K2		$1.07
J7191		Factor viii (porcine)			K5		
J7192		Factor viii recombinant nos			K2		$1.35
J7193		Factor ix non-recombinant			K2		$1.19
J7194		Factor ix complex			K2		$1.48
J7195		Factor ix recombinant nos			K2		$1.53
J7196		Antithrombin recombinant	CH		N1		
J7197		Antithrombin iii injection			K2		$3.48
J7198		Anti-inhibitor			K2		$2.09
J7200		Factor ix recombinan rixubis			K2		$1.46
J7201		Factor ix alprolix recomb			K2		$3.26
J7202		Factor ix idelvion inj			K2		$4.46
J7203		Factor ix recomb gly rebinyn		*	K2		$3.96
J7204		Inj recombin esperoct per iu	NC		K2		$2.25
J7205		Factor viii fc fusion recomb			K2		$2.17
J7207		Factor viii pegylated recomb			K2		$1.85
J7208		Inj. jivi 1 iu			K2		$2.03
J7209		Factor viii nuwiq recomb 1iu			K2		$1.26
J7210		"Inj, afstyla, 1 i.u."			K2		$1.35
J7211		"Inj, kovaltry, 1 i.u."	CH		K2		$1.22
J7212		Factor viia recomb sevenfact	NI		K2		$2.59
J7308		Aminolevulinic acid hcl top			K2		$388.42
J7309		"Methyl aminolevulinate, top"			K5		
J7310		Ganciclovir long act implant			K5		
J7311		"Inj., retisert, 0.01 mg"			K2		$341.22
J7312		Dexamethasone intra implant			K2		$199.85
J7313		"Inj., iluvien, 0.01 mg"			K2		$490.93
J7314		"Inj., yutiq, 0.01 mg"			K2		$496.42
J7315		Ophthalmic mitomycin			N1		
J7316		"Inj, ocriplasmin, 0.125 mg"			K2		"$1,046.93"
J7318		"Inj, durolane 1 mg"		*	K2		$17.23
J7320		"Genvisc 850, inj, 1mg"			K2		$16.92
J7321		Hyalgan supartz visco-3 dose			N1		
J7322		Hymovis injection 1 mg			K2		$31.67
J7323		Euflexxa inj per dose			K2		$135.14
J7324		Orthovisc inj per dose			K2		$128.55
J7325		Synvisc or synvisc-one			K2		$10.67
J7326		Gel-one			K2		"$1,219.00"
J7327		Monovisc inj per dose			K2		$785.19
J7328		Gelsyn-3 injection 0.1 mg			K2		$2.18
J7329		"Inj, trivisc 1 mg"			K2		$7.20
J7331		"Synojoynt, inj., 1 mg"	CH		K2		$18.02
J7332		"Inj., triluron, 1 mg"	CH		N1		
J7333		Visco-3 inj dose	NC		N1		
J7336		Capsaicin 8% patch			K2		$3.25
J7340		Carbidopa levodopa ent 100ml			K2		$213.76
J7342		Ciprofloxacin otic susp 6 mg			K2		$29.98
J7345		"Aminolevulinic acid, 10% gel"			K2		$1.52
J7351		Inj bimatoprost itc imp1mcg	NI		K2		$206.38
J7352		"Afamelanotide implant, 1 mg"	NI		K2		"$3,218.90"
J7500		Azathioprine oral 50mg			N1		
J7501		Azathioprine parenteral			K2		$245.17
J7502		Cyclosporine oral 100 mg			N1		
J7503		Tacrol envarsus ex rel oral			N1		
J7504		Lymphocyte immune globulin			K2		"$2,257.65"
J7505		Monoclonal antibodies			N1		
J7507		Tacrolimus imme rel oral 1mg			N1		
J7508		Tacrol astagraf ex rel oral			N1		
J7509		Methylprednisolone oral			N1		
J7510		Prednisolone oral per 5 mg			N1		
J7511		Antithymocyte globuln rabbit			K2		$790.60
J7512		Prednisone ir or dr oral 1mg			N1		
J7513		"Daclizumab, parenteral"			K5		
J7515		Cyclosporine oral 25 mg			N1		
J7516		Cyclosporin parenteral 250mg			N1		
J7517		Mycophenolate mofetil oral			N1		
J7518		Mycophenolic acid			N1		
J7520		"Sirolimus, oral"			N1		
J7525		Tacrolimus injection			K2		$212.22
J7527		Oral everolimus			N1		
J7599		Immunosuppressive drug noc			N1		
J7665		Mannitol for inhaler			N1		
J7674		"Methacholine chloride, neb"			N1		
J7799		Non-inhalation drug for dme			N1		
J7999		"Compounded drug, noc"			N1		
J8501		Oral aprepitant			N1		
J8510		Oral busulfan	CH		N1		
J8520		"Capecitabine, oral, 150 mg"			N1		
J8521		"Capecitabine, oral, 500 mg"			N1		
J8530		Cyclophosphamide oral 25 mg			N1		
J8540		Oral dexamethasone			N1		
J8560		Etoposide oral 50 mg			K2		$75.77
J8562		Oral fludarabine phosphate	CH 		K5		
J8565		Gefitinib oral			K5		
J8597		Antiemetic drug oral nos			N1		
J8600		Melphalan oral 2 mg			N1		
J8610		Methotrexate oral 2.5 mg			N1		
J8650		Nabilone oral			K5		
J8655		"Oral netupitant, palonosetro"			K2		$270.65
J8670		"Rolapitant, oral, 1mg"			K2		$2.34
J8700		Temozolomide			N1		
J8705		Topotecan oral			N1		
J9000		Doxorubicin hcl injection			N1		
J9015		Aldesleukin injection			K2		"$3,795.26"
J9017		Arsenic trioxide injection			K2		$17.82
J9019		Erwinaze injection			K2		$427.27
J9020		"Asparaginase, nos"			K5		
J9022		"Inj, atezolizumab,10 mg"			K2		$78.18
J9023		"Injection, avelumab, 10 mg"			K2		$85.33
J9025		Azacitidine injection			K2		$0.91
J9027		Clofarabine injection			K2		$30.18
J9030		Bcg live intravesical 1mg	CH		N1		
J9032		"Injection, belinostat, 10mg"			K2		$42.70
J9033		"Inj., treanda 1 mg"			K2		$24.58
J9034		"Inj., bendeka 1 mg"	NI		K2		$20.17
J9035		Bevacizumab injection			K2		$75.16
J9036		Inj. belrapzo/bendamustine			K2		$22.27
J9039		"Injection, blinatumomab"			K2		$118.12
J9040		Bleomycin sulfate injection			N1		
J9041		"Inj., velcade 0.1 mg"			K2		$44.67
J9042		Brentuximab vedotin inj			K2		$182.08
J9043		Cabazitaxel injection			K2		$184.85
J9044		"Inj, bortezomib, nos, 0.1 mg"			K2		$21.10
J9045		Carboplatin injection			N1		
J9047		"Injection, carfilzomib, 1 mg"			K2		$39.35
J9050		Carmustine injection			K2		"$1,743.25"
J9055		Cetuximab injection			K2		$65.48
J9057		"Inj., copanlisib, 1 mg"		*	K2		$79.09
J9060		Cisplatin 10 mg injection			N1		
J9065		Inj cladribine per 1 mg			K2		$21.02
J9070		Cyclophosphamide 100 mg inj			K2		$31.16
J9098		Cytarabine liposome inj	CH		N1		
J9100		Cytarabine hcl 100 mg inj			N1		
J9118		Inj. calaspargase pegol-mknl			K5		
J9119		"Inj., cemiplimab-rwlc, 1 mg"			K2		$27.40
J9120		Dactinomycin injection			K2		$934.16
J9130		Dacarbazine 100 mg inj			N1		
J9144		"Daratumumab, hyaluronidase"	NI		K2		$43.85
J9145		"Injection, daratumumab 10 mg"			K2		$56.04
J9150		Daunorubicin injection			K2		$42.52
J9151		Daunorubicin citrate inj	CH 		K5		
J9153		"Inj daunorubicin, cytarabine"			K2		$201.69
J9155		Degarelix injection			K2		$3.89
J9160		Denileukin diftitox inj			K5		
J9165		Diethylstilbestrol injection			K5		
J9171		Docetaxel injection	CH		N1		
J9173		"Inj., durvalumab, 10 mg"			K2		$77.05
J9175		Elliotts b solution per ml			N1		
J9176		"Injection, elotuzumab, 1mg"			K2		$6.67
J9177		Inj enfort vedo-ejfv 0.25mg	NC		K2		$27.96
J9178		"Inj, epirubicin hcl, 2 mg"			N1		
J9179		Eribulin mesylate injection			K2		$117.76
J9181		Etoposide injection			N1		
J9185		Fludarabine phosphate inj			N1		
J9190		Fluorouracil injection			N1		
J9198		"Inj. infugem, 100 mg"	NC		K2		$39.14
J9200		Floxuridine injection			N1		
J9201		In gemcitabine hcl nos 200mg			N1		
J9202		Goserelin acetate implant			K2		$501.27
J9203		Gemtuzumab ozogamicin 0.1 mg			K2		$205.36
J9204		"Inj mogamulizumab-kpkc, 1 mg"			K2		$206.42
J9205		Inj irinotecan liposome 1 mg			K2		$54.31
J9206		Irinotecan injection			N1		
J9207		Ixabepilone injection			K2		$102.12
J9208		Ifosfamide injection			N1		
J9209		Mesna injection			N1		
J9210		"Inj., emapalumab-lzsg, 1 mg"			K2		$393.16
J9211		Idarubicin hcl injection			N1		
J9212		Interferon alfacon-1 inj			K5		
J9213		Interferon alfa-2a inj	CH		N1		
J9214		Interferon alfa-2b inj			K2		$33.99
J9215		Interferon alfa-n3 inj			K5		
J9216		Interferon gamma 1-b inj			K5		
J9217		Leuprolide acetate suspnsion			K2		$228.93
J9218		Leuprolide acetate injeciton			N1		
J9219		Leuprolide acetate implant			K5		
J9223		"Inj. lurbinectedin, 0.1 mg"	NI		K2		$170.80
J9225		Vantas implant			K2		"$4,586.21"
J9226		Supprelin la implant			K2		"$40,116.00"
J9227		Inj. isatuximab-irfc 10 mg	NI		K2		$66.37
J9228		Ipilimumab injection			K2		$157.23
J9229		Inj inotuzumab ozogam 0.1 mg			K2		"$2,341.30"
J9230		Mechlorethamine hcl inj			K2		$328.29
J9245		Inj melphalan hydrochl 50 mg			K2		$228.79
J9246		"Inj., evomela, 1 mg"	NC		K2		$23.60
J9250		Methotrexate sodium inj			N1		
J9260		Methotrexate sodium inj			N1		
J9261		Nelarabine injection			K2		$151.89
J9262		"Inj, omacetaxine mep, 0.01mg"			K2		$3.31
J9263		Oxaliplatin			N1		
J9264		Paclitaxel protein bound			K2		$13.43
J9266		Pegaspargase injection			K2		"$19,717.46"
J9267		Paclitaxel injection			N1		
J9268		Pentostatin injection			K2		"$2,001.90"
J9269		Inj. tagraxofusp-erzs 10 mcg			K2		$283.33
J9270		Plicamycin (mithramycin) inj	CH		K2		$115.40
J9271		Inj pembrolizumab			K2		$50.65
J9280		Mitomycin injection			K2		$54.24
J9281		Mitomycin instillation	NI		K2		$282.17
J9285		"Inj, olaratumab, 10 mg"			K2		$52.07
J9293		Mitoxantrone hydrochl / 5 mg			K2		$24.14
J9295		"Injection, necitumumab, 1 mg"			K2		$5.74
J9299		"Injection, nivolumab"			K2		$28.54
J9301		Obinutuzumab inj			K2		$63.54
J9302		Ofatumumab injection			K2		$62.15
J9303		Panitumumab injection			K2		$124.17
J9304		"Inj. pemetrexed, 10 mg"	NI		K5		
J9305		Pemetrexed injection			K2		$73.19
J9306		"Injection, pertuzumab, 1 mg"			K2		$12.99
J9307		Pralatrexate injection			K2		$310.93
J9308		"Injection, ramucirumab"			K2		$61.66
J9309		"Inj, polatuzumab vedotin 1mg"			K2		$112.12
J9311		"Inj rituximab, hyaluronidase"		*	K2		$40.23
J9312		"Inj., rituximab, 10 mg"			K2		$91.26
J9313		"Inj., lumoxiti, 0.01 mg"			K2		$22.48
J9315		Romidepsin injection			K2		$336.66
J9316		"Pertuzu, trastuzu, 10 mg"	NI		K2		$72.71
J9317		Sacituzumab govitecan-hziy	NI		K2		$29.51
J9320		Streptozocin injection			K2		$348.73
J9325		Inj talimogene laherparepvec			K2		$54.02
J9328		Temozolomide injection			K2		$10.38
J9330		Temsirolimus injection			K2		$42.86
J9340		Thiotepa injection			K2		$454.82
J9351		Topotecan injection			N1		
J9352		Injection trabectedin 0.1mg			K2		$318.92
