Addendum AA -- ASC Covered Surgical Procedures for CY 2021                                                                                                      (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2020 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2020 American Dental Association.  All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting, April 2021 Payment Indicator,April 2021 Payment Weight  ,April 2021 Payment Rate 
36566,,Insert tunneled cv cath,Y,A2,48.3974,"$2,369.15 "
36568,,Insj picc <5 yr w/o imaging,Y,A2,11.1343,$545.05 
36569,,Insj picc 5 yr+ w/o imaging,Y,A2,11.1343,$545.05 
36570,,Insert picvad cath,Y,A2,27.886,"$1,365.08 "
36571,,Insert picvad cath,Y,A2,27.886,"$1,365.08 "
36572,,Insj picc rs&i <5 yr,Y,G2,5.591,$273.69 
36573,,Insj picc rs&i 5 yr+,Y,G2,11.1343,$545.05 
36575,,Repair tunneled cv cath,Y,A2,5.591,$273.69 
36576,,Repair tunneled cv cath,Y,A2,11.1343,$545.05 
36578,,Replace tunneled cv cath,Y,A2,27.886,"$1,365.08 "
36580,,Replace cvad cath,Y,J8,15.1314,$740.71 
36581,,Replace tunneled cv cath,Y,A2,27.886,"$1,365.08 "
36582,,Replace tunneled cv cath,Y,A2,27.886,"$1,365.08 "
36583,,Replace tunneled cv cath,Y,G2,48.3974,"$2,369.15 "
36584,,Compl rplcmt picc rs&i,Y,A2,11.1343,$545.05 
36585,,Replace picvad cath,Y,A2,27.886,"$1,365.08 "
36589,,Removal tunneled cv cath,N,A2,5.591,$273.69 
36590,,Removal tunneled cv cath,N,A2,11.1343,$545.05 
36591,,Draw blood off venous device,N,N1,,
36592,,Collect blood from picc,N,N1,,
36593,,Declot vascular device,Y,P3,,$32.80 
36595,,Mech remov tunneled cv cath,Y,J8,36.2639,"$1,775.19 "
36596,,Mech remov tunneled cv cath,Y,G2,11.1343,$545.05 
36597,,Reposition venous catheter,Y,G2,11.1343,$545.05 
36598,,Inj w/fluor eval cv device,Y,P3,,$99.79 
36600,,Withdrawal of arterial blood,N,N1,,
36620,,Insertion catheter artery,N,N1,,
36625,,Insertion catheter artery,N,N1,,
36640,,Insertion catheter artery,Y,A2,27.886,"$1,365.08 "
36680,,Insert needle bone cavity,N,N1,,
36800,,Insertion of cannula,Y,G2,48.3974,"$2,369.15 "
36810,,Insertion of cannula,Y,A2,27.886,"$1,365.08 "
36815,,Insertion of cannula,Y,A2,48.3974,"$2,369.15 "
36818,,Av fuse uppr arm cephalic,Y,A2,48.3974,"$2,369.15 "
36819,,Av fuse uppr arm basilic,Y,A2,48.3974,"$2,369.15 "
36820,,Av fusion/forearm vein,Y,A2,48.3974,"$2,369.15 "
36821,,Av fusion direct any site,Y,A2,27.886,"$1,365.08 "
36825,,Artery-vein autograft,Y,A2,48.3974,"$2,369.15 "
36830,,Artery-vein nonautograft,Y,A2,48.3974,"$2,369.15 "
36831,,Open thrombect av fistula,Y,A2,48.3974,"$2,369.15 "
36832,,Av fistula revision open,Y,A2,48.3974,"$2,369.15 "
36833,,Av fistula revision,Y,A2,48.3974,"$2,369.15 "
36835,,Artery to vein shunt,Y,J8,41.5734,"$2,035.10 "
36838,,Dist revas ligation hemo,Y,G2,48.3974,"$2,369.15 "
36860,,External cannula declotting,Y,A2,11.1343,$545.05 
36861,,Cannula declotting,Y,A2,48.3974,"$2,369.15 "
36901,,Intro cath dialysis circuit,Y,P2,11.1343,$545.05 
36902,,Intro cath dialysis circuit,Y,G2,44.0494,"$2,156.31 "
36903,,Intro cath dialysis circuit,Y,J8,131.7011,"$6,447.03 "
36904,,Thrmbc/nfs dialysis circuit,Y,G2,44.0494,"$2,156.31 "
36905,,Thrmbc/nfs dialysis circuit,Y,G2,87.0938,"$4,263.42 "
36906,,Thrmbc/nfs dialysis circuit,Y,J8,217.794,"$10,661.45 "
36907,,Balo angiop ctr dialysis seg,N,N1,,
36908,,Stent plmt ctr dialysis seg,N,N1,,
36909,,Dialysis circuit embolj,N,N1,,
37183,,Remove hepatic shunt (tips),Y,J8,59.6895,"$2,921.92 "
37184,,Prim art m-thrmbc 1st vsl,Y,J8,135.6913,"$6,642.36 "
37185,,Prim art m-thrmbc sbsq vsl,N,N1,,
37186,,Sec art thrombectomy add-on,N,N1,,
37187,,Venous mech thrombectomy,Y,J8,133.6622,"$6,543.03 "
37188,,Ven mechnl thrmbc repeat tx,Y,G2,27.886,"$1,365.08 "
37191,,Ins endovas vena cava filtr,Y,J8,68.9878,"$3,377.09 "
37192,,Redo endovas vena cava filtr,Y,J8,39.324,"$1,924.99 "
37193,,Rem endovas vena cava filter,Y,G2,27.886,"$1,365.08 "
37195,,Thrombolytic therapy stroke,Y,G2,3.2079,$157.03 
37197,,Remove intrvas foreign body,Y,G2,27.886,"$1,365.08 "
37200,,Transcatheter biopsy,Y,G2,48.3974,"$2,369.15 "
37211,,Thrombolytic art therapy,Y,G2,48.3974,"$2,369.15 "
37212,,Thrombolytic venous therapy,Y,G2,27.886,"$1,365.08 "
37213,,Thromblytic art/ven therapy,Y,G2,27.886,"$1,365.08 "
37214,,Cessj therapy cath removal,Y,G2,27.886,"$1,365.08 "
37220,,Iliac revasc,Y,G2,44.0494,"$2,156.31 "
37221,,Iliac revasc w/stent,Y,J8,127.3785,"$6,235.43 "
37222,,Iliac revasc add-on,N,N1,,
37223,,Iliac revasc w/stent add-on,N,N1,,
37224,,Fem/popl revas w/tla,Y,J8,62.807,"$3,074.53 "
37225,,Fem/popl revas w/ather,Y,J8,137.9846,"$6,754.62 "
37226,,Fem/popl revasc w/stent,Y,J8,133.3978,"$6,530.09 "
37227,,Fem/popl revasc stnt & ather,Y,J8,230.5646,"$11,286.60 "
37228,,Tib/per revasc w/tla,Y,J8,118.6566,"$5,808.48 "
37229,,Tib/per revasc w/ather,Y,J8,215.2682,"$10,537.81 "
37230,,Tib/per revasc w/stent,Y,J8,212.2342,"$10,389.29 "
37231,,Tib/per revasc stent & ather,Y,J8,216.0161,"$10,574.42 "
37232,,Tib/per revasc add-on,N,N1,,
37233,,Tibper revasc w/ather add-on,N,N1,,
37234,,Revsc opn/prq tib/pero stent,N,N1,,
37235,,Tib/per revasc stnt & ather,N,N1,,
37236,,Open/perq place stent 1st,Y,J8,125.0339,"$6,120.66 "
37237,,Open/perq place stent ea add,N,N1,,
37238,,Open/perq place stent same,Y,J8,127.7962,"$6,255.88 "
37239,,Open/perq place stent ea add,N,N1,,
37241,,Vasc embolize/occlude venous,Y,P2,87.0938,"$4,263.42 "
37242,,Vasc embolize/occlude artery,Y,J8,129.8253,"$6,355.21 "
37243,,Vasc embolize/occlude organ,Y,G2,87.0938,"$4,263.42 "
37244,,Vasc embolize/occlude bleed,Y,J8,124.9998,"$6,118.99 "
37246,,Trluml balo angiop 1st art,Y,G2,44.0494,"$2,156.31 "
37247,,Trluml balo angiop addl art,N,N1,,
37248,,Trluml balo angiop 1st vein,Y,G2,44.0494,"$2,156.31 "
37249,,Trluml balo angiop addl vein,N,N1,,
37252,,Intrvasc us noncoronary 1st,N,N1,,
37253,,Intrvasc us noncoronary addl,N,N1,,
37500,,Endoscopy ligate perf veins,Y,A2,48.3974,"$2,369.15 "
37565,,Ligation of neck vein,Y,G2,27.886,"$1,365.08 "
37600,,Ligation of neck artery,Y,G2,27.886,"$1,365.08 "
37605,,Ligation of neck artery,Y,G2,27.886,"$1,365.08 "
37606,,Ligation of neck artery,Y,G2,27.886,"$1,365.08 "
37607,,Ligation of a-v fistula,Y,A2,27.886,"$1,365.08 "
37609,,Temporal artery procedure,Y,A2,12.1379,$594.17 
37615,,Ligation of neck artery,Y,G2,27.886,"$1,365.08 "
37619,,Ligation of inf vena cava,Y,G2,48.3974,"$2,369.15 "
37650,,Revision of major vein,Y,A2,27.886,"$1,365.08 "
37700,,Revise leg vein,Y,A2,27.886,"$1,365.08 "
37718,,Ligate/strip short leg vein,Y,A2,27.886,"$1,365.08 "
37722,,Ligate/strip long leg vein,Y,A2,27.886,"$1,365.08 "
37735,,Removal of leg veins/lesion,Y,A2,27.886,"$1,365.08 "
37760,,Ligate leg veins radical,Y,A2,27.886,"$1,365.08 "
37761,,Ligate leg veins open,Y,R2,27.886,"$1,365.08 "
37765,,Stab phleb veins xtr 10-20,Y,P3,,$251.93 
37766,,Phleb veins - extrem 20+,Y,P3,,$276.35 
37780,,Revision of leg vein,Y,A2,27.886,"$1,365.08 "
37785,,Ligate/divide/excise vein,Y,A2,27.886,"$1,365.08 "
37790,,Penile venous occlusion,Y,A2,28.4994,"$1,395.10 "
38120,,Laparoscopy splenectomy,Y,G2,77.5019,"$3,793.87 "
38200,,Injection for spleen x-ray,N,N1,,
38204,,Bl donor search management,N,N1,,
38206,,Harvest auto stem cells,N,G2,14.0717,$688.84 
38207,,Cryopreserve stem cells,N,G2,4.0988,$200.64 
38208,,Thaw preserved stem cells,N,G2,4.0988,$200.64 
38209,,Wash harvest stem cells,N,G2,4.0988,$200.64 
38210,,T-cell depletion of harvest,N,G2,4.0988,$200.64 
38211,,Tumor cell deplete of harvst,N,G2,4.0988,$200.64 
38212,,Rbc depletion of harvest,N,G2,4.0988,$200.64 
38213,,Platelet deplete of harvest,N,G2,4.0988,$200.64 
38214,,Volume deplete of harvest,N,G2,4.0988,$200.64 
38215,,Harvest stem cell concentrte,N,G2,4.0988,$200.64 
38220,,Dx bone marrow aspirations,Y,P3,,$124.57 
38221,,Dx bone marrow biopsies,Y,P3,,$117.59 
38222,,Dx bone marrow bx & aspir,Y,G2,20.3333,$995.36 
38230,,Bone marrow harvest allogen,N,G2,14.0717,$688.84 
38232,,Bone marrow harvest autolog,N,G2,41.6806,"$2,040.35 "
38240,,Transplt allo hct/donor,Y,G2,304.6474,"$14,913.10 "
38241,,Transplt autol hct/donor,N,G2,14.0717,$688.84 
38242,,Transplt allo lymphocytes,N,R2,14.0717,$688.84 
38243,,Transplj hematopoietic boost,N,R2,14.0717,$688.84 
38300,,Drainage lymph node lesion,Y,A2,20.3333,$995.36 
38305,,Drainage lymph node lesion,Y,A2,20.3333,$995.36 
38308,,Incision of lymph channels,Y,A2,24.0288,"$1,176.26 "
38500,,Biopsy/removal lymph nodes,Y,A2,24.0288,"$1,176.26 "
38505,,Needle biopsy lymph nodes,Y,A2,12.1379,$594.17 
38510,,Biopsy/removal lymph nodes,Y,A2,24.0288,"$1,176.26 "
38520,,Biopsy/removal lymph nodes,Y,A2,24.0288,"$1,176.26 "
38525,,Biopsy/removal lymph nodes,Y,A2,24.0288,"$1,176.26 "
38530,,Biopsy/removal lymph nodes,Y,A2,24.0288,"$1,176.26 "
38531,,Open bx/exc inguinofem nodes,Y,G2,24.0288,"$1,176.26 "
38542,,Explore deep node(s) neck,Y,A2,47.1058,"$2,305.92 "
38550,,Removal neck/armpit lesion,Y,A2,24.0288,"$1,176.26 "
38555,,Removal neck/armpit lesion,Y,A2,45.9777,"$2,250.70 "
38570,,Laparoscopy lymph node biop,Y,A2,47.1058,"$2,305.92 "
38571,,Laparoscopy lymphadenectomy,Y,A2,77.5019,"$3,793.87 "
38572,,Laparoscopy lymphadenectomy,Y,A2,77.5019,"$3,793.87 "
38573,,Laps pelvic lymphadec,Y,G2,77.5019,"$3,793.87 "
38700,,Removal of lymph nodes neck,Y,G2,45.9777,"$2,250.70 "
38720,,Removal of lymph nodes neck,Y,G2,56.9611,"$2,788.36 "
38740,,Remove armpit lymph nodes,Y,A2,47.1058,"$2,305.92 "
38745,,Remove armpit lymph nodes,Y,A2,47.1058,"$2,305.92 "
38760,,Remove groin lymph nodes,Y,A2,45.9777,"$2,250.70 "
38790,,Inject for lymphatic x-ray,N,N1,,
38792,,Ra tracer id of sentinl node,N,N1,,
38794,,Access thoracic lymph duct,N,N1,,
38900,,Io map of sent lymph node,N,N1,,
39401,,Mediastinoscpy w/medstnl bx,Y,G2,47.1058,"$2,305.92 "
39402,,Mediastinoscpy w/lmph nod bx,Y,G2,47.1058,"$2,305.92 "
40490,,Biopsy of lip,Y,P3,,$81.65 
40500,,Partial excision of lip,Y,A2,22.1104,"$1,082.35 "
40510,,Partial excision of lip,Y,A2,22.1104,"$1,082.35 "
40520,,Partial excision of lip,Y,A2,22.1104,"$1,082.35 "
40525,,Reconstruct lip with flap,Y,A2,22.1104,"$1,082.35 "
40527,,Reconstruct lip with flap,Y,A2,48.7588,"$2,386.84 "
40530,,Partial removal of lip,Y,A2,22.1104,"$1,082.35 "
40650,,Repair lip,Y,A2,4.6697,$228.59 
40652,,Repair lip,Y,A2,4.6697,$228.59 
40654,,Repair lip,Y,A2,10.4992,$513.96 
40700,,Repair cleft lip/nasal,Y,A2,48.7588,"$2,386.84 "
40701,,Repair cleft lip/nasal,Y,A2,48.7588,"$2,386.84 "
40702,,Repair cleft lip/nasal,Y,R2,48.7588,"$2,386.84 "
40720,,Repair cleft lip/nasal,Y,A2,22.1104,"$1,082.35 "
40761,,Repair cleft lip/nasal,Y,A2,48.7588,"$2,386.84 "
40800,,Drainage of mouth lesion,Y,P3,,$169.93 
40801,,Drainage of mouth lesion,Y,A2,4.6697,$228.59 
40804,,Removal foreign body mouth,N,N1,,
40805,,Removal foreign body mouth,Y,P3,,$193.31 
40806,,Incision of lip fold,Y,P3,,$93.16 
40808,,Biopsy of mouth lesion,Y,P3,,$132.94 
40810,,Excision of mouth lesion,Y,P3,,$172.37 
40812,,Excise/repair mouth lesion,Y,P3,,$207.96 
40814,,Excise/repair mouth lesion,Y,A2,22.1104,"$1,082.35 "
40816,,Excision of mouth lesion,Y,A2,22.1104,"$1,082.35 "
40818,,Excise oral mucosa for graft,Y,A2,4.6697,$228.59 
40819,,Excise lip or cheek fold,Y,A2,10.4992,$513.96 
40820,,Treatment of mouth lesion,Y,P3,,$225.76 
40830,,Repair mouth laceration,Y,G2,2.1844,$106.93 
40831,,Repair mouth laceration,Y,A2,4.6697,$228.59 
40840,,Reconstruction of mouth,Y,A2,48.7588,"$2,386.84 "
40842,,Reconstruction of mouth,Y,A2,48.7588,"$2,386.84 "
40843,,Reconstruction of mouth,Y,A2,48.7588,"$2,386.84 "
40844,,Reconstruction of mouth,Y,A2,48.7588,"$2,386.84 "
40845,,Reconstruction of mouth,Y,A2,48.7588,"$2,386.84 "
41000,,Drainage of mouth lesion,Y,P3,,$110.61 
41005,,Drainage of mouth lesion,Y,A2,2.1844,$106.93 
41006,,Drainage of mouth lesion,Y,A2,10.4992,$513.96 
41007,,Drainage of mouth lesion,Y,A2,10.4992,$513.96 
41008,,Drainage of mouth lesion,Y,A2,22.1104,"$1,082.35 "
41009,,Drainage of mouth lesion,Y,A2,4.6697,$228.59 
41010,,Incision of tongue fold,Y,A2,10.4992,$513.96 
41015,,Drainage of mouth lesion,Y,A2,4.6697,$228.59 
41016,,Drainage of mouth lesion,Y,A2,48.7588,"$2,386.84 "
41017,,Drainage of mouth lesion,Y,A2,22.1104,"$1,082.35 "
41018,,Drainage of mouth lesion,Y,A2,10.4992,$513.96 
41019,,Place needles h&n for rt,Y,G2,48.7588,"$2,386.84 "
41100,,Biopsy of tongue,Y,P3,,$137.13 
41105,,Biopsy of tongue,Y,P3,,$135.73 
41108,,Biopsy of floor of mouth,Y,P3,,$128.76 
41110,,Excision of tongue lesion,Y,P3,,$176.56 
41112,,Excision of tongue lesion,Y,A2,22.1104,"$1,082.35 "
41113,,Excision of tongue lesion,Y,A2,22.1104,"$1,082.35 "
41114,,Excision of tongue lesion,Y,A2,22.1104,"$1,082.35 "
41115,,Excision of tongue fold,Y,P3,,$202.03 
41116,,Excision of mouth lesion,Y,A2,22.1104,"$1,082.35 "
41120,,Partial removal of tongue,Y,A2,48.7588,"$2,386.84 "
41250,,Repair tongue laceration,N,N1,,
41251,,Repair tongue laceration,Y,A2,2.1844,$106.93 
41252,,Repair tongue laceration,Y,A2,2.1844,$106.93 
41510,,Tongue to lip surgery,Y,A2,22.1104,"$1,082.35 "
41512,,Tongue suspension,Y,G2,48.7588,"$2,386.84 "
41520,,Reconstruction tongue fold,Y,A2,22.1104,"$1,082.35 "
41530,,Tongue base vol reduction,Y,P3,,$881.05 
41800,,Drainage of gum lesion,N,N1,,
41805,,Removal foreign body gum,Y,P3,,$282.98 
41806,,Removal foreign body jawbone,Y,P3,,$332.18 
41820,,Excision gum each quadrant,Y,R2,22.1104,"$1,082.35 "
41821,,Excision of gum flap,Y,G2,10.4992,$513.96 
41822,,Excision of gum lesion,Y,P3,,$270.42 
41823,,Excision of gum lesion,Y,P3,,$389.41 
41825,,Excision of gum lesion,Y,P3,,$176.21 
41826,,Excision of gum lesion,Y,P3,,$235.18 
41827,,Excision of gum lesion,Y,A2,48.7588,"$2,386.84 "
41828,,Excision of gum lesion,Y,P3,,$238.32 
41830,,Removal of gum tissue,Y,P3,,$348.93 
41850,,Treatment of gum lesion,Y,R2,10.4992,$513.96 
41870,,Gum graft,Y,G2,10.4992,$513.96 
41872,,Repair gum,Y,P3,,$358.70 
41874,,Repair tooth socket,Y,P3,,$282.98 
42000,,Drainage mouth roof lesion,Y,A2,2.1844,$106.93 
42100,,Biopsy roof of mouth,Y,P3,,$99.10 
42104,,Excision lesion mouth roof,Y,P3,,$158.41 
42106,,Excision lesion mouth roof,Y,P3,,$189.47 
42107,,Excision lesion mouth roof,Y,A2,48.7588,"$2,386.84 "
42120,,Remove palate/lesion,Y,A2,48.7588,"$2,386.84 "
42140,,Excision of uvula,Y,A2,22.1104,"$1,082.35 "
42145,,Repair palate pharynx/uvula,Y,A2,48.7588,"$2,386.84 "
42160,,Treatment mouth roof lesion,Y,P3,,$170.98 
42180,,Repair palate,Y,A2,4.6697,$228.59 
42182,,Repair palate,Y,A2,48.7588,"$2,386.84 "
42200,,Reconstruct cleft palate,Y,A2,48.7588,"$2,386.84 "
42205,,Reconstruct cleft palate,Y,A2,22.1104,"$1,082.35 "
42210,,Reconstruct cleft palate,Y,J8,77.8271,"$3,809.79 "
42215,,Reconstruct cleft palate,Y,A2,48.7588,"$2,386.84 "
42220,,Reconstruct cleft palate,Y,A2,48.7588,"$2,386.84 "
42225,,Reconstruct cleft palate,Y,G2,48.7588,"$2,386.84 "
42226,,Lengthening of palate,Y,A2,48.7588,"$2,386.84 "
42227,,Lengthening of palate,Y,G2,48.7588,"$2,386.84 "
42235,,Repair palate,Y,A2,48.7588,"$2,386.84 "
42260,,Repair nose to lip fistula,Y,A2,48.7588,"$2,386.84 "
42280,,Preparation palate mold,Y,P3,,$125.27 
42281,,Insertion palate prosthesis,Y,G2,48.7588,"$2,386.84 "
42300,,Drainage of salivary gland,Y,A2,10.4992,$513.96 
42305,,Drainage of salivary gland,Y,A2,22.1104,"$1,082.35 "
42310,,Drainage of salivary gland,Y,A2,4.6697,$228.59 
42320,,Drainage of salivary gland,Y,A2,4.6697,$228.59 
42330,,Removal of salivary stone,Y,P3,,$151.44 
42335,,Removal of salivary stone,Y,P3,,$305.31 
42340,,Removal of salivary stone,Y,A2,22.1104,"$1,082.35 "
42400,,Biopsy of salivary gland,Y,P3,,$75.02 
42405,,Biopsy of salivary gland,Y,A2,10.4992,$513.96 
42408,,Excision of salivary cyst,Y,A2,22.1104,"$1,082.35 "
42409,,Drainage of salivary cyst,Y,A2,22.1104,"$1,082.35 "
42410,,Excise parotid gland/lesion,Y,A2,48.7588,"$2,386.84 "
42415,,Excise parotid gland/lesion,Y,A2,48.7588,"$2,386.84 "
42420,,Excise parotid gland/lesion,Y,A2,48.7588,"$2,386.84 "
42425,,Excise parotid gland/lesion,Y,A2,48.7588,"$2,386.84 "
42440,,Excise submaxillary gland,Y,A2,48.7588,"$2,386.84 "
42450,,Excise sublingual gland,Y,A2,48.7588,"$2,386.84 "
42500,,Repair salivary duct,Y,A2,48.7588,"$2,386.84 "
42505,,Repair salivary duct,Y,A2,48.7588,"$2,386.84 "
42507,,Parotid duct diversion,Y,A2,48.7588,"$2,386.84 "
42509,,Parotid duct diversion,Y,A2,48.7588,"$2,386.84 "
42510,,Parotid duct diversion,Y,A2,22.1104,"$1,082.35 "
42550,,Injection for salivary x-ray,N,N1,,
42600,,Closure of salivary fistula,Y,A2,22.1104,"$1,082.35 "
42650,,Dilation of salivary duct,Y,P3,,$48.85 
42660,,Dilation of salivary duct,Y,P3,,$73.97 
42665,,Ligation of salivary duct,Y,A2,22.1104,"$1,082.35 "
42700,,Drainage of tonsil abscess,Y,A2,2.1844,$106.93 
42720,,Drainage of throat abscess,Y,A2,22.1104,"$1,082.35 "
42725,,Drainage of throat abscess,Y,A2,48.7588,"$2,386.84 "
42800,,Biopsy of throat,Y,P3,,$106.42 
42804,,Biopsy of upper nose/throat,Y,A2,22.1104,"$1,082.35 "
42806,,Biopsy of upper nose/throat,Y,A2,22.1104,"$1,082.35 "
42808,,Excise pharynx lesion,Y,A2,22.1104,"$1,082.35 "
42809,,Remove pharynx foreign body,N,N1,,
42810,,Excision of neck cyst,Y,A2,22.1104,"$1,082.35 "
42815,,Excision of neck cyst,Y,A2,48.7588,"$2,386.84 "
42820,,Remove tonsils and adenoids,Y,A2,48.7588,"$2,386.84 "
42821,,Remove tonsils and adenoids,Y,A2,22.1104,"$1,082.35 "
42825,,Removal of tonsils,Y,A2,48.7588,"$2,386.84 "
42826,,Removal of tonsils,Y,A2,22.1104,"$1,082.35 "
42830,,Removal of adenoids,Y,A2,22.1104,"$1,082.35 "
42831,,Removal of adenoids,Y,A2,22.1104,"$1,082.35 "
42835,,Removal of adenoids,Y,A2,22.1104,"$1,082.35 "
42836,,Removal of adenoids,Y,A2,22.1104,"$1,082.35 "
42842,,Extensive surgery of throat,Y,G2,48.7588,"$2,386.84 "
42844,,Extensive surgery of throat,Y,G2,48.7588,"$2,386.84 "
42860,,Excision of tonsil tags,Y,A2,22.1104,"$1,082.35 "
42870,,Excision of lingual tonsil,Y,A2,48.7588,"$2,386.84 "
42890,,Partial removal of pharynx,Y,A2,48.7588,"$2,386.84 "
42892,,Revision of pharyngeal walls,Y,A2,48.7588,"$2,386.84 "
42900,,Repair throat wound,Y,J8,18.6701,$913.94 
42950,,Reconstruction of throat,Y,A2,48.7588,"$2,386.84 "
42955,,Surgical opening of throat,Y,A2,10.4992,$513.96 
42960,,Control throat bleeding,Y,A2,4.6697,$228.59 
42962,,Control throat bleeding,Y,A2,22.1104,"$1,082.35 "
42970,,Control nose/throat bleeding,Y,R2,2.1844,$106.93 
42972,,Control nose/throat bleeding,Y,A2,22.1104,"$1,082.35 "
43020,,Incision of esophagus,Y,G2,10.4992,$513.96 
43030,,Throat muscle surgery,Y,G2,48.7588,"$2,386.84 "
43130,,Removal of esophagus pouch,Y,G2,48.7588,"$2,386.84 "
43180,,Esophagoscopy rigid trnso,Y,G2,48.7588,"$2,386.84 "
43191,,Esophagoscopy rigid trnso dx,Y,G2,14.0923,$689.85 
43192,,Esophagoscp rig trnso inject,Y,G2,14.0923,$689.85 
43193,,Esophagoscp rig trnso biopsy,Y,G2,14.0923,$689.85 
43194,,Esophagoscp rig trnso rem fb,Y,G2,14.0923,$689.85 
43195,,Esophagoscopy rigid balloon,Y,G2,28.0737,"$1,374.26 "
43196,,Esophagoscp guide wire dilat,Y,G2,28.0737,"$1,374.26 "
43197,,Esophagoscopy flex dx brush,Y,P3,,$142.01 
43198,,Esophagosc flex trnsn biopsy,Y,P3,,$150.74 
43200,,Esophagoscopy flexible brush,Y,A2,8.3573,$409.11 
43201,,Esoph scope w/submucous inj,Y,A2,14.0923,$689.85 
43202,,Esophagoscopy flex biopsy,Y,A2,14.0923,$689.85 
43204,,Esoph scope w/sclerosis inj,Y,A2,14.0923,$689.85 
43205,,Esophagus endoscopy/ligation,Y,A2,14.0923,$689.85 
43206,,Esoph optical endomicroscopy,Y,G2,14.0923,$689.85 
43210,,Egd esophagogastrc fndoplsty,Y,G2,77.5019,"$3,793.87 "
43211,,Esophagoscop mucosal resect,Y,G2,14.0923,$689.85 
43212,,Esophagoscop stent placement,Y,J8,66.3101,"$3,246.01 "
43213,,Esophagoscopy retro balloon,Y,G2,14.0923,$689.85 
43214,,Esophagosc dilate balloon 30,Y,G2,14.0923,$689.85 
43215,,Esophagoscopy flex remove fb,Y,A2,14.0923,$689.85 
43216,,Esophagoscopy lesion removal,Y,A2,14.0923,$689.85 
43217,,Esophagoscopy snare les remv,Y,A2,14.0923,$689.85 
43220,,Esophagoscopy balloon <30mm,Y,A2,14.0923,$689.85 
43226,,Esoph endoscopy dilation,Y,A2,14.0923,$689.85 
43227,,Esophagoscopy control bleed,Y,A2,14.0923,$689.85 
43229,,Esophagoscopy lesion ablate,Y,J8,36.758,"$1,799.38 "
43231,,Esophagoscop ultrasound exam,Y,A2,14.0923,$689.85 
43232,,Esophagoscopy w/us needle bx,Y,A2,14.0923,$689.85 
43233,,Egd balloon dil esoph30 mm/>,Y,G2,14.0923,$689.85 
43235,,Egd diagnostic brush wash,Y,A2,8.3573,$409.11 
43236,,Uppr gi scope w/submuc inj,Y,A2,8.3573,$409.11 
43237,,Endoscopic us exam esoph,Y,A2,14.0923,$689.85 
43238,,Egd us fine needle bx/aspir,Y,A2,14.0923,$689.85 
43239,,Egd biopsy single/multiple,Y,A2,8.3573,$409.11 
43240,,Egd w/transmural drain cyst,Y,J8,46.9705,"$2,299.30 "
43241,,Egd tube/cath insertion,Y,A2,14.0923,$689.85 
43242,,Egd us fine needle bx/aspir,Y,A2,14.0923,$689.85 
43243,,Egd injection varices,Y,A2,14.0923,$689.85 
43244,,Egd varices ligation,Y,A2,14.0923,$689.85 
43245,,Egd dilate stricture,Y,A2,14.0923,$689.85 
43246,,Egd place gastrostomy tube,Y,A2,14.0923,$689.85 
43247,,Egd remove foreign body,Y,A2,8.3573,$409.11 
43248,,Egd guide wire insertion,Y,A2,8.3573,$409.11 
43249,,Esoph egd dilation <30 mm,Y,A2,14.0923,$689.85 
43250,,Egd cautery tumor polyp,Y,A2,14.0923,$689.85 
43251,,Egd remove lesion snare,Y,A2,14.0923,$689.85 
43252,,Egd optical endomicroscopy,Y,G2,28.0737,"$1,374.26 "
43253,,Egd us transmural injxn/mark,Y,G2,14.0923,$689.85 
43254,,Egd endo mucosal resection,Y,G2,14.0923,$689.85 
43255,,Egd control bleeding any,Y,A2,14.0923,$689.85 
43257,,Egd w/thrml txmnt gerd,Y,A2,28.0737,"$1,374.26 "
43259,,Egd us exam duodenum/jejunum,Y,A2,14.0923,$689.85 
43260,,Ercp w/specimen collection,Y,A2,28.0737,"$1,374.26 "
43261,,Endo cholangiopancreatograph,Y,A2,28.0737,"$1,374.26 "
43262,,Endo cholangiopancreatograph,Y,A2,28.0737,"$1,374.26 "
43263,,Ercp sphincter pressure meas,Y,A2,28.0737,"$1,374.26 "
43264,,Ercp remove duct calculi,Y,A2,28.0737,"$1,374.26 "
43265,,Ercp lithotripsy calculi,Y,A2,41.8331,"$2,047.81 "
43266,,Egd endoscopic stent place,Y,J8,67.6205,"$3,310.16 "
43270,,Egd lesion ablation,Y,G2,14.0923,$689.85 
43273,,Endoscopic pancreatoscopy,N,N1,,
43274,,Ercp duct stent placement,Y,G2,41.8331,"$2,047.81 "
43275,,Ercp remove forgn body duct,Y,G2,28.0737,"$1,374.26 "
43276,,Ercp stent exchange w/dilate,Y,G2,41.8331,"$2,047.81 "
43277,,Ercp ea duct/ampulla dilate,Y,G2,28.0737,"$1,374.26 "
43278,,Ercp lesion ablate w/dilate,Y,G2,28.0737,"$1,374.26 "
43280,,Laparoscopy fundoplasty,Y,G2,77.5019,"$3,793.87 "
43281,,Lap paraesophag hern repair,Y,G2,77.5019,"$3,793.87 "
43282,,Lap paraesoph her rpr w/mesh,Y,G2,77.5019,"$3,793.87 "
