Addendum AA -- ASC Covered Surgical Procedures for CY 2024                                                                                                                                (Including Surgical Procedures for Which Payment is Packaged)							
CPT codes and descriptions only are copyright 2023 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2023 American Dental Association.  All Rights Reserved.							
							
HCPCS Code		Short Descriptor	Subject to Multiple Procedure Discounting	January 2024  Payment Indicator	January 2024  Payment Weight  	January 2024 Payment Rate 	
36405		Bl draw <3 yrs scalp vein	N	N1			
36406		Bl draw <3 yrs other vein	N	N1			
36410		Non-routine bl draw 3/> yrs	N	N1			
36416		Collj capillary blood spec	N	N1			
36420		Venipuncture cutdown < 1 yr	N	N1			
36425		Venipuncture cutdown 1 yr/>	N	N1			
36430		Transfusion bld/bld compnt	N	P3		$40.60	
36440		Bld push tfuj 2 yr/<	N	R2	4.208	$225.19	
36450		Bld exchange truj newborn	N	R2	4.208	$225.19	
36455		Bld exchange truj oth thn nb	N	G2	4.208	$225.19	
36465		Njx noncmpnd sclrsnt 1 vein	Y	P2	17.6771	$945.97	
36466		Njx noncmpnd sclrsnt mlt vn	Y	P2	17.6771	$945.97	
36468		Njx sclrsnt spider veins	N	N1			
36470		Njx sclrsnt 1 incmptnt vein	Y	P3		$83.83	
36471		Njx sclrsnt mlt incmptnt vn	Y	P3		$137.20	
36473		Endovenous mchnchem 1st vein	Y	P3		"$1,028.17"	
36474		Endovenous mchnchem add-on	N	N1			
36475		Endovenous rf 1st vein	Y	A2	28.9271	"$1,548.00"	
36476		Endovenous rf vein add-on	N	N1			
36478		Endovenous laser 1st vein	Y	A2	28.9271	"$1,548.00"	
36479		Endovenous laser vein addon	N	N1			
36481		Insertion of catheter vein	N	N1			
36482		Endoven ther chem adhes 1st	Y	P3		"$1,475.13"	
36483		Endoven ther chem adhes sbsq	N	N1			
36500		Insertion of catheter vein	N	N1			
36510		Insertion of catheter vein	N	N1			
36511		Apheresis wbc	N	G2	14.8729	$795.91	
36512		Apheresis rbc	N	G2	14.8729	$795.91	
36513		Apheresis platelets	N	R2	4.208	$225.19	
36514		Apheresis plasma	N	G2	14.8729	$795.91	
36516		Apheresis immunoads slctv	N	P3		"$1,682.72"	
36522		Photopheresis	N	G2	44.8594	"$2,400.61"	
36555		Insert non-tunnel cv cath	Y	A2	28.9271	"$1,548.00"	
36556		Insert non-tunnel cv cath	Y	A2	28.9271	"$1,548.00"	
36557		Insert tunneled cv cath	Y	A2	54.2493	"$2,903.10"	
36558		Insert tunneled cv cath	Y	A2	28.9271	"$1,548.00"	
36560		Insert tunneled cv cath	Y	G2	28.9271	"$1,548.00"	
36561		Insert tunneled cv cath	Y	A2	28.9271	"$1,548.00"	
36563		Insert tunneled cv cath	Y	J8	90.5006	"$4,843.05"	
36565		Insert tunneled cv cath	Y	A2	28.9271	"$1,548.00"	
36566		Insert tunneled cv cath	Y	A2	54.2493	"$2,903.10"	
36568		Insj picc <5 yr w/o imaging	Y	J8	14.5205	$777.05	
36569		Insj picc 5 yr+ w/o imaging	Y	A2	11.5704	$619.18	
36570		Insert picvad cath	Y	J8	36.4307	"$1,949.55"	
36571		Insert picvad cath	Y	A2	28.9271	"$1,548.00"	
36572		Insj picc rs&i <5 yr	Y	G2	6.0895	$325.87	
36573		Insj picc rs&i 5 yr+	Y	G2	11.5704	$619.18	
36575		Repair tunneled cv cath	Y	A2	6.0895	$325.87	
36576		Repair tunneled cv cath	Y	A2	11.5704	$619.18	
36578		Replace tunneled cv cath	Y	J8	37.0768	"$1,984.13"	
36580		Replace cvad cath	Y	G2	11.5704	$619.18	
36581		Replace tunneled cv cath	Y	J8	36.3047	"$1,942.81"	
36582		Replace tunneled cv cath	Y	A2	28.9271	"$1,548.00"	
36583		Replace tunneled cv cath	Y	J8	93.3423	"$4,995.12"	
36584		Compl rplcmt picc rs&i	Y	A2	11.5704	$619.18	
36585		Replace picvad cath	Y	A2	28.9271	"$1,548.00"	
36589		Removal tunneled cv cath	N	A2	6.0895	$325.87	
36590		Removal tunneled cv cath	N	A2	11.5704	$619.18	
36591		Draw blood off venous device	N	N1			
36592		Collect blood from picc	N	N1			
36593		Declot vascular device	Y	P3		$33.40	
36595		Mech remov tunneled cv cath	Y	J8	36.4258	"$1,949.29"	
36596		Mech remov tunneled cv cath	Y	G2	11.5704	$619.18	
36597		Reposition venous catheter	Y	G2	11.5704	$619.18	
36598		Inj w/fluor eval cv device	Y	P3		$89.72	
36600		Withdrawal of arterial blood	N	N1			
36620		Insertion catheter artery	N	N1			
36625		Insertion catheter artery	N	N1			
36640		Insertion catheter artery	Y	A2	28.9271	"$1,548.00"	
36680		Insert needle bone cavity	N	N1			
36800		Insertion of cannula	Y	G2	54.2493	"$2,903.10"	
36810		Insertion of cannula	Y	J8	36.5904	"$1,958.10"	
36815		Insertion of cannula	Y	A2	54.2493	"$2,903.10"	
36818		Av fuse uppr arm cephalic	Y	A2	54.2493	"$2,903.10"	
36819		Av fuse uppr arm basilic	Y	A2	54.2493	"$2,903.10"	
36820		Av fusion/forearm vein	Y	A2	54.2493	"$2,903.10"	
36821		Av fusion direct any site	Y	A2	28.9271	"$1,548.00"	
36825		Artery-vein autograft	Y	A2	54.2493	"$2,903.10"	
36830		Artery-vein nonautograft	Y	A2	54.2493	"$2,903.10"	
36831		Open thrombect av fistula	Y	A2	54.2493	"$2,903.10"	
36832		Av fistula revision open	Y	A2	54.2493	"$2,903.10"	
36833		Av fistula revision	Y	A2	54.2493	"$2,903.10"	
36835		Artery to vein shunt	Y	J8	41.0635	"$2,197.47"	
36836		Prq av fstl crtj uxtr 1 acs	Y	J8	195.1142	"$10,441.34"	
36837		Prq av fstl crt uxtr sep acs	Y	J8	214.4351	"$11,475.28"	
36860		External cannula declotting	Y	A2	11.5704	$619.18	
36861		Cannula declotting	Y	J8	76.2244	"$4,079.07"	
36901		Intro cath dialysis circuit	Y	P3		$554.03	
36902		Intro cath dialysis circuit	Y	G2	47.204	"$2,526.07"	
36903		Intro cath dialysis circuit	Y	J8	129.4215	"$6,925.86"	
36904		Thrmbc/nfs dialysis circuit	Y	J8	60.1912	"$3,221.07"	
36905		Thrmbc/nfs dialysis circuit	Y	J8	114.0423	"$6,102.86"	
36906		Thrmbc/nfs dialysis circuit	Y	J8	210.7947	"$11,280.47"	
36907		Balo angiop ctr dialysis seg	N	N1			
36908		Stent plmt ctr dialysis seg	N	N1			
36909		Dialysis circuit embolj	N	N1			
37184		Prim art m-thrmbc 1st vsl	Y	J8	188.9279	"$10,110.29"	
37185		Prim art m-thrmbc sbsq vsl	N	N1			
37186		Sec art thrombectomy add-on	N	N1			
37187		Venous mech thrombectomy	Y	J8	135.7351	"$7,263.73"	
37188		Ven mechnl thrmbc repeat tx	Y	J8	47.945	"$2,565.73"	
37192		Redo endovas vena cava filtr	Y	J8	36.2273	"$1,938.67"	
37193		Rem endovas vena cava filter	Y	G2	28.9271	"$1,548.00"	
37197		Remove intrvas foreign body	Y	J8	37.0795	"$1,984.27"	
37200		Transcatheter biopsy	Y	G2	54.2493	"$2,903.10"	
37211		Thrombolytic art therapy	Y	J8	68.3212	"$3,656.14"	
37212		Thrombolytic venous therapy	Y	J8	36.6848	"$1,963.15"	
37220		Iliac revasc	Y	J8	61.1588	"$3,272.85"	
37221		Iliac revasc w/stent	Y	J8	126.4577	"$6,767.26"	
37222		Iliac revasc add-on	N	N1			
37223		Iliac revasc w/stent add-on	N	N1			
37224		Fem/popl revas w/tla	Y	J8	64.4728	"$3,450.20"	
37225		Fem/popl revas w/ather	Y	J8	218.383	"$11,686.55"	
37226		Fem/popl revasc w/stent	Y	J8	131.2557	"$7,024.02"	
37227		Fem/popl revasc stnt & ather	Y	J8	221.6913	"$11,863.59"	
37228		Tib/per revasc w/tla	Y	J8	118.2793	"$6,329.60"	
37229		Tib/per revasc w/ather	Y	J8	207.2035	"$11,088.29"	
37230		Tib/per revasc w/stent	Y	J8	200.4763	"$10,728.29"	
37231		Tib/per revasc stent & ather	Y	J8	223.7082	"$11,971.52"	
37232		Tib/per revasc add-on	N	N1			
37233		Tibper revasc w/ather add-on	N	N1			
37234		Revsc opn/prq tib/pero stent	N	N1			
37235		Tib/per revasc stnt & ather	N	N1			
37236		Open/perq place stent 1st	Y	J8	123.5396	"$6,611.10"	
37237		Open/perq place stent ea add	N	N1			
37238		Open/perq place stent same	Y	J8	125.1086	"$6,695.06"	
37239		Open/perq place stent ea add	N	N1			
37241		Vasc embolize/occlude venous	Y	J8	114.0801	"$6,104.88"	
37242		Vasc embolize/occlude artery	Y	J8	210.7456	"$11,277.84"	
37243		Vasc embolize/occlude organ	Y	G2	90.5832	"$4,847.47"	
37246		Trluml balo angiop 1st art	Y	J8	61.2576	"$3,278.14"	
37247		Trluml balo angiop addl art	N	N1			
37248		Trluml balo angiop 1st vein	Y	G2	47.204	"$2,526.07"	
37249		Trluml balo angiop addl vein	N	N1			
37252		Intrvasc us noncoronary 1st	N	N1			
37253		Intrvasc us noncoronary addl	N	N1			
37500		Endoscopy ligate perf veins	Y	A2	54.2493	"$2,903.10"	
37607		Ligation of a-v fistula	Y	A2	28.9271	"$1,548.00"	
37609		Temporal artery procedure	Y	A2	12.7612	$682.90	
37650		Revision of major vein	Y	A2	28.9271	"$1,548.00"	
37700		Revise leg vein	Y	A2	28.9271	"$1,548.00"	
37718		Ligate/strip short leg vein	Y	A2	28.9271	"$1,548.00"	
37722		Ligate/strip long leg vein	Y	A2	28.9271	"$1,548.00"	
37735		Removal of leg veins/lesion	Y	A2	28.9271	"$1,548.00"	
37760		Ligate leg veins radical	Y	A2	28.9271	"$1,548.00"	
37761		Ligate leg veins open	Y	R2	28.9271	"$1,548.00"	
37765		Stab phleb veins xtr 10-20	Y	P3		$218.08	
37766		Phleb veins - extrem 20+	Y	P3		$242.63	
37780		Revision of leg vein	Y	A2	28.9271	"$1,548.00"	
37785		Ligate/divide/excise vein	Y	A2	28.9271	"$1,548.00"	
37790		Penile venous occlusion	Y	A2	30.3866	"$1,626.11"	
38200		Injection for spleen x-ray	N	N1			
38204		Bl donor search management	N	N1			
38206		Harvest auto stem cells	N	G2	14.8729	$795.91	
38220		Dx bone marrow aspirations	Y	P3		$111.99	
38221		Dx bone marrow biopsies	Y	P3		$114.60	
38222		Dx bone marrow bx & aspir	Y	G2	21.6231	"$1,157.14"	
38230		Bone marrow harvest allogen	N	G2	14.8729	$795.91	
38232		Bone marrow harvest autolog	N	R2	44.8594	"$2,400.61"	
38241		Transplt autol hct/donor	N	G2	14.8729	$795.91	
38242		Transplt allo lymphocytes	N	R2	14.8729	$795.91	
38243		Transplj hematopoietic boost	N	R2	14.8729	$795.91	
38300		Drainage lymph node lesion	Y	A2	21.6231	"$1,157.14"	
38305		Drainage lymph node lesion	Y	A2	21.6231	"$1,157.14"	
38308		Incision of lymph channels	Y	A2	27.4594	"$1,469.46"	
38500		Biopsy/removal lymph nodes	Y	A2	27.4594	"$1,469.46"	
38505		Needle biopsy lymph nodes	Y	A2	12.7612	$682.90	
38510		Biopsy/removal lymph nodes	Y	A2	27.4594	"$1,469.46"	
38520		Biopsy/removal lymph nodes	Y	A2	27.4594	"$1,469.46"	
38525		Biopsy/removal lymph nodes	Y	A2	27.4594	"$1,469.46"	
38530		Biopsy/removal lymph nodes	Y	A2	27.4594	"$1,469.46"	
38531		Open bx/exc inguinofem nodes	Y	G2	27.4594	"$1,469.46"	
38542		Explore deep node(s) neck	Y	A2	50.5562	"$2,705.46"	
38550		Removal neck/armpit lesion	Y	A2	27.4594	"$1,469.46"	
38555		Removal neck/armpit lesion	Y	A2	47.3889	"$2,535.97"	
38570		Laparoscopy lymph node biop	Y	A2	50.5562	"$2,705.46"	
38571		Laparoscopy lymphadenectomy	Y	A2	84.8496	"$4,540.64"	
38572		Laparoscopy lymphadenectomy	Y	A2	84.8496	"$4,540.64"	
38573		Laps pelvic lymphadec	Y	G2	84.8496	"$4,540.64"	
38700		Removal of lymph nodes neck	Y	G2	47.3889	"$2,535.97"	
38740		Remove armpit lymph nodes	Y	A2	50.5562	"$2,705.46"	
38745		Remove armpit lymph nodes	Y	A2	50.5562	"$2,705.46"	
38760		Remove groin lymph nodes	Y	A2	47.3889	"$2,535.97"	
38790		Inject for lymphatic x-ray	N	N1			
38792		Ra tracer id of sentinl node	N	N1			
38794		Access thoracic lymph duct	N	N1			
38900		Io map of sent lymph node	N	N1			
40490		Biopsy of lip	Y	P3		$76.29	
40500		Partial excision of lip	Y	A2	24.6457	"$1,318.89"	
40510		Partial excision of lip	Y	A2	24.6457	"$1,318.89"	
40520		Partial excision of lip	Y	A2	24.6457	"$1,318.89"	
40525		Reconstruct lip with flap	Y	A2	24.6457	"$1,318.89"	
40527		Reconstruct lip with flap	Y	A2	51.5906	"$2,760.82"	
40530		Partial removal of lip	Y	A2	24.6457	"$1,318.89"	
40650		Rpr lip fth vermilion only	Y	A2	5.3334	$285.41	
40652		Rpr lip fth<half ver height	Y	A2	5.3334	$285.41	
40654		Rpr lip fth>1half ver ht/cpx	Y	A2	12.4609	$666.83	
40700		Repair cleft lip/nasal	Y	A2	51.5906	"$2,760.82"	
40701		Repair cleft lip/nasal	Y	A2	51.5906	"$2,760.82"	
40702		Repair cleft lip/nasal	Y	R2	51.5906	"$2,760.82"	
40720		Repair cleft lip/nasal	Y	A2	24.6457	"$1,318.89"	
40761		Repair cleft lip/nasal	Y	A2	51.5906	"$2,760.82"	
40800		Drainage of mouth lesion	Y	P3		$154.55	
40801		Drainage of mouth lesion	Y	A2	5.3334	$285.41	
40804		Removal foreign body mouth	N	N1			
40805		Removal foreign body mouth	Y	P3		$180.09	
40806		Incision of lip fold	Y	P3		$86.44	
40808		Biopsy of mouth lesion	Y	P3		$128.36	
40810		Excision of mouth lesion	Y	P3		$163.72	
40812		Excise/repair mouth lesion	Y	P3		$186.64	
40814		Excise/repair mouth lesion	Y	A2	24.6457	"$1,318.89"	
40816		Excision of mouth lesion	Y	A2	24.6457	"$1,318.89"	
40818		Excise oral mucosa for graft	Y	A2	5.3334	$285.41	
40819		Excise lip or cheek fold	Y	A2	12.4609	$666.83	
40820		Treatment of mouth lesion	Y	P3		$206.62	
40830		Repair mouth laceration	Y	P2	2.3678	$126.71	
40831		Repair mouth laceration	Y	A2	5.3334	$285.41	
40840		Reconstruction of mouth	Y	A2	51.5906	"$2,760.82"	
40842		Reconstruction of mouth	Y	A2	51.5906	"$2,760.82"	
40843		Reconstruction of mouth	Y	A2	51.5906	"$2,760.82"	
40844		Reconstruction of mouth	Y	A2	51.5906	"$2,760.82"	
40845		Reconstruction of mouth	Y	A2	51.5906	"$2,760.82"	
41000		Drainage of mouth lesion	Y	P3		$93.98	
41005		Drainage of mouth lesion	Y	A2	2.3678	$126.71	
41006		Drainage of mouth lesion	Y	A2	12.4609	$666.83	
41007		Drainage of mouth lesion	Y	A2	12.4609	$666.83	
41008		Drainage of mouth lesion	Y	A2	24.6457	"$1,318.89"	
41009		Drainage of mouth lesion	Y	A2	5.3334	$285.41	
41010		Incision of tongue fold	Y	A2	12.4609	$666.83	
41015		Drainage of mouth lesion	Y	A2	5.3334	$285.41	
41016		Drainage of mouth lesion	Y	A2	51.5906	"$2,760.82"	
41017		Drainage of mouth lesion	Y	A2	24.6457	"$1,318.89"	
41018		Drainage of mouth lesion	Y	A2	12.4609	$666.83	
41019		Place needles h&n for rt	Y	G2	51.5906	"$2,760.82"	
41100		Biopsy of tongue	Y	P3		$132.29	
41105		Biopsy of tongue	Y	P3		$131.30	
41108		Biopsy of floor of mouth	Y	P3		$125.08	
41110		Excision of tongue lesion	Y	P3		$168.63	
41112		Excision of tongue lesion	Y	A2	24.6457	"$1,318.89"	
41113		Excision of tongue lesion	Y	A2	24.6457	"$1,318.89"	
41114		Excision of tongue lesion	Y	A2	24.6457	"$1,318.89"	
41115		Excision of tongue fold	Y	P3		$190.90	
41116		Excision of mouth lesion	Y	A2	24.6457	"$1,318.89"	
41120		Partial removal of tongue	Y	A2	51.5906	"$2,760.82"	
41250		Repair tongue laceration	N	N1			
41251		Repair tongue laceration	Y	A2	2.3678	$126.71	
41252		Repair tongue laceration	Y	A2	2.3678	$126.71	
41510		Tongue to lip surgery	Y	A2	24.6457	"$1,318.89"	
41512		Tongue suspension	Y	J8	64.9731	"$3,476.97"	
41520		Reconstruction tongue fold	Y	A2	24.6457	"$1,318.89"	
41530		Tongue base vol reduction	Y	P3		$764.25	
41800		Drainage of gum lesion	N	N1			
41805		Removal foreign body gum	Y	P3		$253.44	
41806		Removal foreign body jawbone	Y	P3		$299.94	
41820		Excision gum each quadrant	Y	R2	24.6457	"$1,318.89"	
41821		Excision of gum flap	Y	G2	12.4609	$666.83	
41822		Excision of gum lesion	Y	P3		$256.39	
41823		Excision of gum lesion	Y	P3		$376.56	
41825		Excision of gum lesion	Y	P3		$166.01	
41826		Excision of gum lesion	Y	P3		$206.62	
41827		Excision of gum lesion	Y	A2	51.5906	"$2,760.82"	
41828		Excision of gum lesion	Y	P3		$226.26	
41830		Removal of gum tissue	Y	P3		$328.42	
41850		Treatment of gum lesion	Y	R2	12.4609	$666.83	
41870		Gum graft	Y	G2	12.4609	$666.83	
41872		Repair gum	Y	P3		$348.73	
41874		Repair tooth socket	Y	P3		$261.63	
42000		Drainage mouth roof lesion	Y	A2	2.3678	$126.71	
42100		Biopsy roof of mouth	Y	P3		$93.98	
42104		Excision lesion mouth roof	Y	P3		$151.93	
42106		Excision lesion mouth roof	Y	P3		$168.63	
42107		Excision lesion mouth roof	Y	A2	51.5906	"$2,760.82"	
42120		Remove palate/lesion	Y	A2	51.5906	"$2,760.82"	
42140		Excision of uvula	Y	A2	24.6457	"$1,318.89"	
42145		Repair palate pharynx/uvula	Y	A2	51.5906	"$2,760.82"	
42160		Treatment mouth roof lesion	Y	P3		$154.88	
42180		Repair lac palate<2 cm	Y	A2	5.3334	$285.41	
42182		Repair palate	Y	A2	51.5906	"$2,760.82"	
42200		Reconstruct cleft palate	Y	A2	51.5906	"$2,760.82"	
42205		Reconstruct cleft palate	Y	A2	24.6457	"$1,318.89"	
42210		Reconstruct cleft palate	Y	A2	51.5906	"$2,760.82"	
42215		Reconstruct cleft palate	Y	J8	70.0065	"$3,746.33"	
42220		Reconstruct cleft palate	Y	A2	51.5906	"$2,760.82"	
42225		Reconstruct cleft palate	Y	G2	51.5906	"$2,760.82"	
42226		Lengthening of palate	Y	A2	51.5906	"$2,760.82"	
42227		Lengthening of palate	Y	G2	51.5906	"$2,760.82"	
42235		Repair palate	Y	A2	51.5906	"$2,760.82"	
42260		Repair nose to lip fistula	Y	A2	51.5906	"$2,760.82"	
42280		Preparation palate mold	Y	P3		$116.24	
42281		Insertion palate prosthesis	Y	G2	51.5906	"$2,760.82"	
42300		Drainage of salivary gland	Y	A2	12.4609	$666.83	
42305		Drainage of salivary gland	Y	A2	24.6457	"$1,318.89"	
42310		Drainage of salivary gland	Y	A2	5.3334	$285.41	
42320		Drainage of salivary gland	Y	A2	5.3334	$285.41	
42330		Removal of salivary stone	Y	P3		$147.35	
42335		Removal of salivary stone	Y	P3		$301.25	
42340		Removal of salivary stone	Y	A2	24.6457	"$1,318.89"	
42400		Biopsy of salivary gland	Y	P3		$65.82	
42405		Biopsy of salivary gland	Y	A2	12.4609	$666.83	
42408		Excision of salivary cyst	Y	A2	24.6457	"$1,318.89"	
42409		Drainage of salivary cyst	Y	A2	24.6457	"$1,318.89"	
42410		Excise parotid gland/lesion	Y	A2	51.5906	"$2,760.82"	
42415		Excise parotid gland/lesion	Y	A2	51.5906	"$2,760.82"	
42420		Excise parotid gland/lesion	Y	A2	51.5906	"$2,760.82"	
42425		Excise parotid gland/lesion	Y	A2	51.5906	"$2,760.82"	
42440		Excise submaxillary gland	Y	A2	51.5906	"$2,760.82"	
42450		Excise sublingual gland	Y	A2	51.5906	"$2,760.82"	
42500		Repair salivary duct	Y	A2	51.5906	"$2,760.82"	
42505		Repair salivary duct	Y	A2	51.5906	"$2,760.82"	
42507		Parotid duct diversion	Y	A2	51.5906	"$2,760.82"	
42509		Parotid duct diversion	Y	A2	51.5906	"$2,760.82"	
42510		Parotid duct diversion	Y	A2	24.6457	"$1,318.89"	
42550		Injection for salivary x-ray	N	N1			
42600		Closure of salivary fistula	Y	A2	24.6457	"$1,318.89"	
42650		Dilation of salivary duct	Y	P3		$44.86	
42660		Dilation of salivary duct	Y	P3		$64.51	
42665		Ligation of salivary duct	Y	A2	24.6457	"$1,318.89"	
42700		Drainage of tonsil abscess	Y	A2	2.3678	$126.71	
42720		Drainage of throat abscess	Y	A2	24.6457	"$1,318.89"	
42725		Drainage of throat abscess	Y	A2	51.5906	"$2,760.82"	
42800		Biopsy of throat	Y	P3		$103.14	
42804		Biopsy of upper nose/throat	Y	A2	24.6457	"$1,318.89"	
42806		Biopsy of upper nose/throat	Y	A2	24.6457	"$1,318.89"	
42808		Excise pharynx lesion	Y	A2	24.6457	"$1,318.89"	
42809		Remove pharynx foreign body	N	N1			
42810		Excision of neck cyst	Y	A2	24.6457	"$1,318.89"	
42815		Excision of neck cyst	Y	A2	51.5906	"$2,760.82"	
42820		Remove tonsils and adenoids	Y	A2	51.5906	"$2,760.82"	
42821		Remove tonsils and adenoids	Y	A2	24.6457	"$1,318.89"	
42825		Removal of tonsils	Y	A2	51.5906	"$2,760.82"	
42826		Removal of tonsils	Y	A2	24.6457	"$1,318.89"	
42830		Removal of adenoids	Y	A2	24.6457	"$1,318.89"	
42831		Removal of adenoids	Y	A2	24.6457	"$1,318.89"	
42835		Removal of adenoids	Y	A2	24.6457	"$1,318.89"	
42836		Removal of adenoids	Y	A2	24.6457	"$1,318.89"	
42860		Excision of tonsil tags	Y	A2	24.6457	"$1,318.89"	
42870		Excision of lingual tonsil	Y	A2	51.5906	"$2,760.82"	
42890		Partial removal of pharynx	Y	A2	51.5906	"$2,760.82"	
42892		Revision of pharyngeal walls	Y	A2	51.5906	"$2,760.82"	
42900		Repair throat wound	Y	J8	20.7503	"$1,110.43"	
42950		Reconstruction of throat	Y	A2	51.5906	"$2,760.82"	
42955		Surgical opening of throat	Y	A2	12.4609	$666.83	
42960		Control throat bleeding	Y	A2	5.3334	$285.41	
42962		Control throat bleeding	Y	A2	24.6457	"$1,318.89"	
42970		Control nose/throat bleeding	Y	R2	2.3678	$126.71	
42972		Control nose/throat bleeding	Y	A2	24.6457	"$1,318.89"	
42975		Dise eval slp do brth flx dx	Y	R2	14.1483	$757.13	
43030		Throat muscle surgery	Y	G2	51.5906	"$2,760.82"	
43130		Removal of esophagus pouch	Y	G2	51.5906	"$2,760.82"	
43180		Esophagoscopy rigid trnso	Y	G2	51.5906	"$2,760.82"	
43191		Esophagoscopy rigid trnso dx	Y	G2	15.544	$831.82	
43192		Esophagoscp rig trnso inject	Y	G2	15.544	$831.82	
43193		Esophagoscp rig trnso biopsy	Y	G2	15.544	$831.82	
43194		Esophagoscp rig trnso rem fb	Y	G2	15.544	$831.82	
43195		Esophagoscopy rigid balloon	Y	G2	33.619	"$1,799.09"	
43196		Esophagoscp guide wire dilat	Y	G2	15.544	$831.82	
43197		Esophagoscopy flex dx brush	Y	P3		$129.67	
43198		Esophagosc flex trnsn biopsy	Y	P3		$139.82	
43200		Esophagoscopy flexible brush	Y	A2	8.787	$470.23	
43201		Esoph scope w/submucous inj	Y	A2	15.544	$831.82	
43202		Esophagoscopy flex biopsy	Y	A2	15.544	$831.82	
43204		Esoph scope w/sclerosis inj	Y	A2	15.544	$831.82	
43205		Esophagus endoscopy/ligation	Y	A2	15.544	$831.82	
43206		Esoph optical endomicroscopy	Y	G2	15.544	$831.82	
43210		Egd esophagogastrc fndoplsty	Y	J8	110.3311	"$5,904.26"	
43211		Esophagoscop mucosal resect	Y	G2	15.544	$831.82	
43212		Esophagoscop stent placement	Y	J8	71.7457	"$3,839.40"	
43213		Esophagoscopy retro balloon	Y	G2	15.544	$831.82	
43214		Esophagosc dilate balloon 30	Y	G2	15.544	$831.82	
43215		Esophagoscopy flex remove fb	Y	A2	15.544	$831.82	
43216		Esophagoscopy lesion removal	Y	A2	15.544	$831.82	
43217		Esophagoscopy snare les remv	Y	A2	15.544	$831.82	
43220		Esophagoscopy balloon <30mm	Y	A2	15.544	$831.82	
43226		Esoph endoscopy dilation	Y	A2	15.544	$831.82	
43227		Esophagoscopy control bleed	Y	A2	15.544	$831.82	
43229		Esophagoscopy lesion ablate	Y	J8	49.4091	"$2,644.08"	
43231		Esophagoscop ultrasound exam	Y	A2	15.544	$831.82	
43232		Esophagoscopy w/us needle bx	Y	A2	15.544	$831.82	
43233		Egd balloon dil esoph30 mm/>	Y	G2	15.544	$831.82	
43235		Egd diagnostic brush wash	Y	A2	8.787	$470.23	
43236		Uppr gi scope w/submuc inj	Y	A2	8.787	$470.23	
43237		Endoscopic us exam esoph	Y	A2	15.544	$831.82	
43238		Egd us fine needle bx/aspir	Y	A2	15.544	$831.82	
43239		Egd biopsy single/multiple	Y	A2	8.787	$470.23	
43240		Egd w/transmural drain cyst	Y	J8	75.2087	"$4,024.72"	
43241		Egd tube/cath insertion	Y	A2	15.544	$831.82	
43242		Egd us fine needle bx/aspir	Y	A2	15.544	$831.82	
43243		Egd injection varices	Y	A2	15.544	$831.82	
43244		Egd varices ligation	Y	A2	15.544	$831.82	
43245		Egd dilate stricture	Y	A2	15.544	$831.82	
43246		Egd place gastrostomy tube	Y	A2	15.544	$831.82	
43247		Egd remove foreign body	Y	A2	8.787	$470.23	
43248		Egd guide wire insertion	Y	A2	8.787	$470.23	
43249		Esoph egd dilation <30 mm	Y	A2	15.544	$831.82	
43250		Egd cautery tumor polyp	Y	A2	15.544	$831.82	
43251		Egd remove lesion snare	Y	A2	15.544	$831.82	
43252		Egd optical endomicroscopy	Y	G2	15.544	$831.82	
43253		Egd us transmural injxn/mark	Y	G2	15.544	$831.82	
43254		Egd endo mucosal resection	Y	G2	15.544	$831.82	
43255		Egd control bleeding any	Y	A2	15.544	$831.82	
43257		Egd w/thrml txmnt gerd	Y	J8	45.4959	"$2,434.67"	
43259		Egd us exam duodenum/jejunum	Y	A2	15.544	$831.82	
43260		Ercp w/specimen collection	Y	A2	33.619	"$1,799.09"	
43261		Endo cholangiopancreatograph	Y	A2	33.619	"$1,799.09"	
43262		Endo cholangiopancreatograph	Y	A2	33.619	"$1,799.09"	
43263		Ercp sphincter pressure meas	Y	A2	15.544	$831.82	
43264		Ercp remove duct calculi	Y	A2	33.619	"$1,799.09"	
43265		Ercp lithotripsy calculi	Y	A2	48.1241	"$2,575.31"	
43266		Egd endoscopic stent place	Y	J8	74.061	"$3,963.30"	
43270		Egd lesion ablation	Y	J8	20.0742	"$1,074.25"	
43273		Endoscopic pancreatoscopy	N	N1			
43274		Ercp duct stent placement	Y	J8	62.0208	"$3,318.98"	
43275		Ercp remove forgn body duct	Y	G2	15.544	$831.82	
43276		Ercp stent exchange w/dilate	Y	J8	62.0972	"$3,323.07"	
43277		Ercp ea duct/ampulla dilate	Y	G2	33.619	"$1,799.09"	
43278		Ercp lesion ablate w/dilate	Y	G2	33.619	"$1,799.09"	
43284		Laps esophgl sphnctr agmntj	Y	J8	121.2791	"$6,490.13"	
43285		Rmvl esophgl sphnctr dev	N	G2	50.5562	"$2,705.46"	
43290		Egd flx trnsorl dplmnt balo	Y	G2	15.544	$831.82	
43291		Egd flx trnsorl rmvl balo	Y	G2	8.787	$470.23	
43450		Dilate esophagus 1/mult pass	Y	A2	8.787	$470.23	
43453		Dilate esophagus	Y	A2	15.544	$831.82	
43653		Laparoscopy gastrostomy	Y	A2	50.5562	"$2,705.46"	
43752		Nasal/orogastric w/tube plmt	N	G2	3.8623	$206.69	
43753		Tx gastro intub w/asp	N	N1			
